"","Species","Site","Assessment","Year","Method","SampleSize","Value","LowerCI","UpperCI","SD","Metric","Flag"
"1","Lane Snapper","All","LBSPR",1994,"CatchMSY",1.814,0.0524007182976466,0.0320421393924974,0.133130019058333,0.428772774644143,"Catch/MSY",NA
"2","Lane Snapper","All","LBSPR",1995,"CatchMSY",3.77966666666667,0.109182606537489,0.0667632889694097,0.277390901525622,0.428772774644143,"Catch/MSY",NA
"3","Lane Snapper","All","LBSPR",1996,"CatchMSY",5.74533333333333,0.165964494777331,0.101484438546322,0.421651783992912,0.428772774644143,"Catch/MSY",NA
"4","Lane Snapper","All","LBSPR",1997,"CatchMSY",7.711,0.222746383017174,0.136205588123234,0.565912666460202,0.428772774644143,"Catch/MSY",NA
"5","Lane Snapper","All","LBSPR",1998,"CatchMSY",9.67666666666667,0.279528271257016,0.170926737700147,0.710173548927491,0.428772774644143,"Catch/MSY",NA
"6","Lane Snapper","All","LBSPR",1999,"CatchMSY",11.6423333333333,0.336310159496859,0.205647887277059,0.854434431394781,0.428772774644143,"Catch/MSY",NA
"7","Lane Snapper","All","LBSPR",2000,"CatchMSY",13.608,0.393092047736701,0.240369036853972,0.99869531386207,0.428772774644143,"Catch/MSY",NA
"8","Lane Snapper","All","LBSPR",2001,"CatchMSY",7.258,0.209660646860154,0.128203885176817,0.532666856849714,0.428772774644143,"Catch/MSY",NA
"9","Lane Snapper","All","LBSPR",2002,"CatchMSY",22.22675,0.642060455028786,0.392608942526015,1.63122803258258,0.428772774644143,"Catch/MSY",NA
"10","Lane Snapper","All","LBSPR",2003,"CatchMSY",37.1955,1.07446026319742,0.657013999875213,2.72978920831545,0.428772774644143,"Catch/MSY",NA
"11","Lane Snapper","All","LBSPR",2004,"CatchMSY",52.16425,1.50686007136605,0.921419057224411,3.82835038404832,0.428772774644143,"Catch/MSY",NA
"12","Lane Snapper","All","LBSPR",2005,"CatchMSY",67.133,1.93925987953468,1.18582411457361,4.92691155978118,0.428772774644143,"Catch/MSY",NA
"13","Lane Snapper","All","LBSPR",2006,"CatchMSY",54.885,1.58545392710382,0.969477850362303,4.02802706505877,0.428772774644143,"Catch/MSY",NA
"14","Lane Snapper","All","LBSPR",2007,"CatchMSY",56.701,1.63791241907104,1.00155531736163,4.16130386473348,0.428772774644143,"Catch/MSY",NA
"15","Lane Snapper","All","LBSPR",2008,"CatchMSY",85.277,2.46338260985028,1.50631616371224,6.25850531159728,0.428772774644143,"Catch/MSY",NA
"16","Lane Snapper","All","LBSPR",2009,"CatchMSY",144.7,4.17992499320257,2.55595235396603,10.6195775952264,0.428772774644143,"Catch/MSY",NA
"17","Lane Snapper","All","LBSPR",2010,"CatchMSY",61.23492,1.76888301703359,1.08164158893518,4.49404965084647,0.428772774644143,"Catch/MSY",NA
"18","Lane Snapper","All","LBSPR",2011,"CatchMSY",93.439952,2.69918445562162,1.65050494311591,6.85758687462498,0.428772774644143,"Catch/MSY",NA
"19","Lane Snapper","All","LBSPR",2012,"CatchMSY",1.814,0.0524007182976466,0.0320421393924974,0.133130019058333,0.428772774644143,"Catch/MSY",NA
"20","Lane Snapper","All","LBSPR",2013,"CatchMSY",3.77966666666667,0.109182606537489,0.0667632889694097,0.277390901525622,0.428772774644143,"Catch/MSY",NA
"21","Lane Snapper","All","LBSPR",2014,"CatchMSY",5.74533333333333,0.165964494777331,0.101484438546322,0.421651783992912,0.428772774644143,"Catch/MSY",NA
