Year,Month,Length,Length Type,Sex,Special,MPA,FisheryDependent,
2015,-999,18.5,0,0,0,0,0,
2015,-999,17,0,0,0,0,0,22.5
2015,-999,22.5,0,0,0,0,0,
2015,-999,15.5,0,0,0,0,0,
2015,-999,16,0,0,0,0,0,
2015,-999,18,0,0,0,0,0,
2015,-999,18,0,0,0,0,0,
2015,-999,18.5,0,0,0,0,0,
2015,-999,16.5,0,0,0,0,0,
2015,-999,16.5,0,0,0,0,0,
2015,-999,16.5,0,0,0,0,0,
2015,-999,19,0,0,0,0,0,
2015,-999,18.5,0,0,0,0,0,
2015,-999,19,0,0,0,0,0,
2015,-999,18.5,0,0,0,0,0,
2015,-999,19,0,0,0,0,0,
2015,-999,18.5,0,0,0,0,0,
2015,-999,19,0,0,0,0,0,
2015,-999,18.5,0,0,0,0,0,
2015,-999,17,0,0,0,0,0,
2015,-999,22,0,0,0,0,0,
2015,-999,19,0,0,0,0,0,
2015,-999,16.5,0,0,0,0,0,
2015,-999,16,0,0,0,0,0,
2015,-999,15.5,0,0,0,0,0,
2015,-999,16.5,0,0,0,0,0,
2015,-999,16.5,0,0,0,0,0,
2015,-999,17.5,0,0,0,0,0,
2015,-999,19,0,0,0,0,0,
2015,-999,17.5,0,0,0,0,0,
2015,-999,18,0,0,0,0,0,
2015,-999,20.5,0,0,0,0,0,
2015,-999,18.5,0,0,0,0,0,
2015,-999,17.5,0,0,0,0,0,
2015,-999,17,0,0,0,0,0,
2015,-999,18.5,0,0,0,0,0,
2015,-999,19.5,0,0,0,0,0,
2015,-999,17.5,0,0,0,0,0,
2015,-999,18.5,0,0,0,0,0,
2015,-999,20,0,0,0,0,0,
2015,-999,17,0,0,0,0,0,
2015,-999,18.5,0,0,0,0,0,
2015,-999,19,0,0,0,0,0,
2015,-999,20,0,0,0,0,0,
2015,-999,19.5,0,0,0,0,0,
2015,-999,18,0,0,0,0,0,
2015,-999,19,0,0,0,0,0,
2015,-999,19,0,0,0,0,0,
2015,-999,18,0,0,0,0,0,
2015,-999,17.5,0,0,0,0,0,
2015,-999,21.5,0,0,0,0,0,
2015,-999,21.5,0,0,0,0,0,
2015,-999,17,0,0,0,0,0,
2015,-999,17.5,0,0,0,0,0,
2015,-999,17.5,0,0,0,0,0,
2015,-999,16,0,0,0,0,0,
2015,-999,16,0,0,0,0,0,
2015,-999,19,0,0,0,0,0,
2015,-999,18.5,0,0,0,0,0,
2015,-999,19,0,0,0,0,0,
