Year,Month,Catch,Sex,Special
1994,-999,701.7155931,-999,-999
1995,-999,1642.464707,-999,-999
1996,-999,1502.763987,-999,-999
1997,-999,1124.918745,-999,-999
1998,-999,763.4134694,-999,-999
1999,-999,965.2510647,-999,-999
2000,-999,684.9406267,-999,-999
2001,-999,1251.93949,-999,-999
2002,-999,1058.706877,-999,-999
2003,-999,783.3624294,-999,-999
2004,-999,1059.160876,-999,-999
2005,-999,2885.802214,-999,-999
2006,-999,2448.072092,-999,-999
2007,-999,1436.096121,-999,-999
2008,-999,943.9421074,-999,-999
2009,-999,692.6546112,-999,-999
2010,-999,630.0547368,-999,-999
2011,-999,1226.080542,-999,-999
2012,-999,1090.003815,-999,-999
2013,-999,517.09488,-999,-999
2014,-999,1008.788608,-999,-999
2015,-999,1220.616072,-999,-999
