Common name,Scientific name,Family
crevalle jack, caranx hippos,Carangidae
french angelfish, pomacanthus paru,Pomacanthidae
big eye scad, selar crumenophthalmus,Carangidae
bream,Abramis brama,Cyprinidae
sergeant major,Abudefduf saxatilis,Pomacentridae
night sergeant,Abudefduf taurus,Pomacentridae
wahoo,Acanthocybium solandri,Scombridae
ocean surgeon,Acanthurus bahianus,Acanthuridae
doctorfish,Acanthurus chirurgus,Acanthuridae
blue tang,Acanthurus coeruleus,Acanthuridae
bonefish,Albula vulpes,Albulidae
african pompano,Alectis ciliaris,Carangidae
orange filefish,Aluterus schoepfi,Monacanthidae
scrawled filefish,Aluterus scriptus,Monacanthidae
black margate,Anisotremus surinamensis,Haemulidae
porkfish,Anisotremus virginicus,Haemulidae
uku,Aprion viscerens,Lutjanidae
black snapper,Apsilus dentatus,Lutjanidae
sea bream,Archosargus rhomboidalis,Sparidae
speckeled swimming crab,Arenaeus cribrarius,Portunidae
catfishes,Aridae (g:  arius),Ariidae
silversides,Atherinidae,Atherinopsidae
trumpetfishes,Aulostomidae,Aulostomidae
striped croaker,Bairdiella sanctaeluciae,Sciaenidae
gray trigger,Balistes capriscus,Balistidae
queen triggerfish,Balistes vetula,Balistidae
needlefishes,Belonidae,Belonidae
spotfin hogfish,Bodianus pulchellus,Labridae
spanish hogfish,Bodianus rufus,Labridae
jolthead porgy,Calamus bajonado,Sparidae
jolthead porgy,Calamus bajonado,Sparidae
saucereye porgy,Calamus calamus,Sparidae
pluma porgy,Calamus pennatula,Sparidae
white spotted filefish,Cantherhines macrocerus,Monacanthidae
orangespot filefish,Cantherhines pullus,Monacanthidae
ocean triggerfish,Canthidermis sufflamen,Balistidae
yellow jack,Carangoides bartholomaei,Carangidae
blue runner,Caranx crysos,Carangidae
horseeye jack,Caranx latus,Carangidae
horseeye jack,Caranx latus,Carangidae
black jack,Caranx lugubris,Carangidae
bar jack,Caranx ruber,Carangidae
"shark,blacktip",Carcharhinus limbatus,Carcharhinidae
"shark,oceanic whiteti",Carcharhinus longimanus,Carcharhinidae
"shark,sandbar",Carcharhinus milberti,Carcharhinidae
"shark,caribbean reef",Carcharhinus perezi,Carcharhinidae
snooks,Centropomidae,Centropomidae
spotted parrotfish,Cetoscarus ocellatus,Scaridae
atlantic spadefish,Chaetodipterus faber,Ephippidae
foureye butterfly fish,Chaetodon capistratus,Chaetodontidae
spotfin butterflyfish,Chaetodon ocellatus,Chaetodontidae
banded butterfly fish,Chaetodon striatus,Chaetodontidae
"turtle,atl,green sea",Chelonia mydas mydas,Cheloniidae
turtles,Cheloniidae,Cheloniidae
peacock bass,Cichla ocellaris,Cichlidae
creole wrasse,Clepticus parrae,Labridae
herrings,Clupeidae,Clupeidae
conger eel,Conger oceanicus,Congridae
manytooth conger,Conger triporiceps,Congridae
barred grunt,Conodon nobilis,Haemulidae
dolphinfish,Coryphaena hippurus,Coryphaenidae
flying gurnard,Dactylopterus volitans,Dactylopteridae
stingrays,Dasyatidae, Urotrygonidae
round scad,Decapterus punctatus,Carangidae
shark sucker,Echeneis naucrates, Echeneidae
sharksucker,Echeneis naucrates,Echeneidae
rainbow runner,Elagatis bipinnulata,Carangidae
rock hind,Epinephelus adscensionis,Serranidae
graysby,Epinephelus cruentatus,Serranidae
coney,Epinephelus fulvus,Serranidae
red hind,Epinephelus guttatus,Serranidae
honeycomb grouper,Epinephelus merra,Serranidae
red grouper,Epinephelus morio,Serranidae
naussau grouper,Epinephelus striatus,Serranidae
jackknife-fish,Equetus lanceolatus,Sciaenidae
spotted drum,Equetus punctatus,Sciaenidae
"turtle,hawksbill",Eretmochelys imbricata,Cheloniidae
queen snapper,Etelis oculatus,Lutjanidae
silver jenny,Eucinostomus gula,Gerreidae
little tunny,Euthynnus alletteratus,Scombridae
flyingfishes,Exocoetidae,Exocoetidae
tiger shark,Galeocerdo cuvier,Carcharhinidae
nurse shark,Ginglymostoma cirratum,Ginglymostomatidae
"shark,nurse",Ginglymostoma cirratum,Ginglymostomatidae
soapfishes,Grammistidae,Serranidae
green moray,Gymnothorax funebris,Muraenidae
spotted moray,Gymnothorax moringa,Muraenidae
purplemouth moray,Gymnothorax vicinus,Muraenidae
white margate,Haemulon album,Lutjanidae
caesar grunt,Haemulon carbonarium,Haemulidae
smalltooth grunt,Haemulon chrysargyreum,Haemulidae
spanish grunt,Haemulon macrostomum,Haemulidae
cottonwick,Haemulon melanurum,Haemulidae
sailors choice,Haemulon parrai,Haemulidae
white grunt,Haemulon plumieri,Haemulidae
blue striped grunt,Haemulon sciurus,Haemulidae
striped grunt,Haemulon striatum,Haemulidae
french grunt,Haemulon flavolineatum  ,Haemulidae
puddingwife,Halichoeres radiatus,Labridae
black grunt,Heamulon bonariense,Haemulidae
ballyhoo,Hemiramphus brasiliensis,Hemiramphidae
glass eye snapper,Heteropriacanthus cruentatus,Lutjanidae
blue angelfish,Holacanthus bermudensis,Pomacanthidae
queen angelfish,Holacanthus ciliaris,Pomacentridae
rock beauty,Holacanthus tricolor,Pomacanthidae
squirrelfish,Holocentrus adscensionis,Holocentridae
longjaw squirrelfish,Holocentrus marianus,Holocentridae
longspine squirrelfish,Holocentrus rufus,Holocentridae
sailfish,Istiophorus platypterus,Istiophoridae
skipjack tuna,Katsuwonus pelamis,Scombridae
bermuda chub,Kyphosus sectatrix,Kyphosidae
hogfish,Lachnolaimus maximus,Labridae
spotted trunkfish,Lactophrys bicaudalis,Ostraciidae
honeycomb cowfish,Lactophrys poligonius,Ostraciidae
scrawled cowfish,Lactophrys quadricornis,Ostraciidae
trunkfish,Lactophrys trigonus,Ostraciidae
smooth trunkfish,Lactophrys triqueter,Ostraciidae
pinfish,Lagodon rhomboides,Sparidae
squid,Loliginidae,Loliginidae
mutton snapper,Lutjanus analis,Lutjanidae
schoolmaster,Lutjanus apodus,Lutjanidae
blackfin snapper,Lutjanus buccanella,Lutjanidae
red snapper,Lutjanus campechanus,Lutjanidae
cubera snapper,Lutjanus cyanopterus,Lutjanidae
gray snapper,Lutjanus griseus,Lutjanidae
dog snapper,Lutjanus jocu,Lutjanidae
mahogony snapper,Lutjanus mahogoni,Lutjanidae
southern red snapper,Lutjanus purpureus,Lutjanidae
lane snapper,Lutjanus synagris,Lutjanidae
silk snapper,Lutjanus vivanus,Lutjanidae
blue marlin,Makaira nigricans,Istiophoridae
sand tilefish,Malacanthus plumieri,Malacanthidae
tarpon,Megalops atlanticus,Megalopidae
black durgan,Melichthys niger,Balistidae
indian crown conch,Melongena melongena,Melongenidae
gulf kingfish,Menticirrhus littoralis,Sciaenidae
yellowtail damselfish,Microspathodon chrysurus,Pomacentridae
white mullet,Mugil curema,Muglidae
yellow goatfish,Mulloidichthys martinicu,Mullidae
staut moray,Muraena robusta,Muraenidae
black grouper,Mycteroperca bonaci,Serranidae
yellowfin grouper,Mycteroperca interstita,Serranidae
tiger grouper,Mycteroperca tigris,Serranidae
yellowfin grouper,Mycteroperca venenosa,Serranidae
blackbar soldierfish,Myripristis jacobus,Holocentridae
shark (lemon),Negaprion brevirostris,Carcharhinidae
"octopus, carib. reef",Octopus briareus,Octopodidae
"octopus,common",Octopus vulgaris,Octopodidae
yellowtail snapper,Ocyurus chrysurus,Lutjanidae
"shark,sand tiger",Odontaspis taurus,Odontaspididae
batfishes,Ogcocephalidae,Pomacanthidae
Caribbean spiny lobster,Panulirus argus, Palinuridae
spotted spiny lobster,Panulirus guttatus, Palinuridae
sculp slipper lobster,Parribacus antarcticus,Scyllaridae
butterfish,Peprilus triacanthus,Serranidae
keeltail needlefish,Platibelone argalus arga,Belonidae
gray angelfish,Pomacanthus arcuatus,Pomacentridae
bigeye,Priacanthus arenatus,Carangidae
glasseye snapper,Priacanthus cruentatus,Lutjanidae
wenchman,Pristipomoides aquilonar,Lutjanidae
spotted goatfish,Pseudupeneus maculatus,Mullidae
lionfish,Pterois volitans,Scorpaenidae
"shark,carib sharpnose",Rhizonoprionodon porosus,Carcharhinidae
vermilion snapper,Rhomboplites aurorubens,Lutjanidae
atlantic bonito,Sarda sarda,Scombridae
midnight parrotfish,Scarus coelestinus,Scaridae
blue parrotfish,Scarus coeruleus,Scaridae
striped parrotfish,Scarus croicensis,Scaridae
rainbow parrotfish,Scarus guacamaia,Scaridae
princess parrotfish,Scarus taeniopterus,Scaridae
queen parrotfish,Scarus vetula,Scaridae
drums,Sciaenidae,Sciaenidae
kingfish,Scomberomorus cavalla,Sciaenidae
spanish mackerel,Scomberomorus maculatus,Scombridae
cero mackeral,Scomberomorus regalis,Scombridae
slipper lobster,Scyllaridae,Scyllaridae
atlantic moonfish,Selene setapinnis,Carangidae
greater amberjack,Seriola dumerili,Carangidae
almaco jack,Seriola rivoliana,Carangidae
redband parrotfish,Sparisoma aurofrenatum,Scaridae
redfin parrotfish,Sparisoma rubripinne,Scaridae
stoplight parrotfish,Sparisoma viride,Scaridae
redtail parrot,Sparisoma chrysopterum ,Scaridae
great barracuda,Sphyraena barracuda,Sphyraenidae
southern sennet,Sphyraena picudilla,Sphyraenidae
"shark,hammer.scaloped",Sphyrna lewini,Sphyrnidae
"shark,great hammerhd",Sphyrna mokarran,Sphyrnidae
"sharks,unclassified",Squalidade,Carcharhinidae
queen conch,Strombus gigas,Strombidae
lizardfishes,Synodontidae,Synodontidae
white marlin,Tetrapturus albidus,Istiophoridae
albacore,Thunnus alalunga,Scombridae
yellowfin tuna,Thunnus albacares,Scombridae
blackfin tuna,Thunnus atlanticus,Scombridae
bluefin tuna,Thunnus thynnus,Scombridae
permit,Trachinotus falcatus,Carangidae
palometa,Trachinotus goodei,Carangidae
gar ,Tylosurus crocodilus,Belonidae
dwarf goatfish,Upeneus parvus,Mullidae
cottonmouth jakc,Uraspis secunda,Carangidae
