Year,Month,Length,Length Type,Sex,Special,MPA,FisheryDependent
2015,-999,24,15,0,0,0,0
2015,-999,26,15,0,0,0,0
2015,-999,23.5,1.712818382,0,0,0,0
2015,-999,28.5,1.650037582,0,0,0,0
2015,-999,26,1.790060773,0,0,0,0
2015,-999,30.5,1.723890397,0,0,0,0
2015,-999,30,24,0,0,0,0
2015,-999,25,24,0,0,0,0
2015,-999,26.5,20,0,0,0,0
2015,-999,24.5,24,0,0,0,0
2015,-999,26.5,26,0,0,0,0
2015,-999,26,23.5,0,0,0,0
2015,-999,26.5,28.5,0,0,0,0
2015,-999,24.5,26,0,0,0,0
2015,-999,24.5,30.5,0,0,0,0
2015,-999,26,30,0,0,0,0
2015,-999,25,25,0,0,0,0
2015,-999,23.5,31,0,0,0,0
2015,-999,23.5,30.5,0,0,0,0
2015,-999,23,26,0,0,0,0
2015,-999,24,30,0,0,0,0
2015,-999,23,34,0,0,0,0
2015,-999,24,29.5,0,0,0,0
2015,-999,23.5,26.5,0,0,0,0
2015,-999,24,24.5,0,0,0,0
2015,-999,27,26.5,0,0,0,0
2015,-999,22,26,0,0,0,0
2015,-999,24.5,26.5,0,0,0,0
2015,-999,23,24.5,0,0,0,0
2015,-999,23,24.5,0,0,0,0
2015,-999,31,26,0,0,0,0
2015,-999,30.5,25,0,0,0,0
2015,-999,26,23.5,0,0,0,0
2015,-999,30,23.5,0,0,0,0
2015,-999,34,23,0,0,0,0
2015,-999,29.5,24,0,0,0,0
2015,-999,29.5,23,0,0,0,0
2015,-999,29.5,24,0,0,0,0
2015,-999,29.5,23.5,0,0,0,0
2015,-999,29.5,24,0,0,0,0
2015,-999,29.5,27,0,0,0,0
2015,-999,29.5,22,0,0,0,0
2015,-999,29.5,24.5,0,0,0,0
2015,-999,29.5,23,0,0,0,0
2015,-999,29.5,23,0,0,0,0
2015,-999,29.5,25,0,0,0,0
2015,-999,29.5,22.5,0,0,0,0
2015,-999,29.5,24.5,0,0,0,0
2015,-999,29.5,27,0,0,0,0
2015,-999,29.5,21,0,0,0,0
2015,-999,29.5,19,0,0,0,0
2015,-999,29.5,23.5,0,0,0,0
2015,-999,29.5,26,0,0,0,0
2015,-999,29.5,24.5,0,0,0,0
2015,-999,29.5,18.5,0,0,0,0
2015,-999,29.5,22.5,0,0,0,0
2015,-999,29.5,28.5,0,0,0,0
2015,-999,29.5,24.5,0,0,0,0
2015,-999,29.5,28,0,0,0,0
2015,-999,29.5,27.1,0,0,0,0
2015,-999,29.5,25.1,0,0,0,0
2015,-999,29.5,26.6,0,0,0,0
2015,-999,29.5,26.1,0,0,0,0
2015,-999,29.5,25.6,0,0,0,0
2015,-999,29.5,21.6,0,0,0,0
2015,-999,29.5,22.3,0,0,0,0
