"","Species","Site","Assessment","Year","Method","SampleSize","Value","LowerCI","UpperCI","SD","Metric","Flag","SA","FSlope","Slope"
"1","Gar","All","LBSPR",1994,"CatchMSY",2958.823068,0.392508226359312,0.279631992060731,0.688385110547238,0.286636618206488,"Catch/MSY",NA,"Gar-CatchMSY-Catch/MSY",NA,-0.00921511666880715
"2","Gar","All","LBSPR",1995,"CatchMSY",9274.710405,1.2303541129019,0.876532893901496,2.15780815571212,0.286636618206488,"Catch/MSY",NA,"Gar-CatchMSY-Catch/MSY",NA,-0.00921511666880715
"3","Gar","All","LBSPR",1996,"CatchMSY",9402.154149,1.24726040191222,0.888577327512894,2.18745858555728,0.286636618206488,"Catch/MSY",NA,"Gar-CatchMSY-Catch/MSY",NA,-0.00921511666880715
"4","Gar","All","LBSPR",1997,"CatchMSY",15174.85957,2.0130494720992,1.43414327699873,3.53050761825183,0.286636618206488,"Catch/MSY",NA,"Gar-CatchMSY-Catch/MSY",NA,-0.00921511666880715
"5","Gar","All","LBSPR",1998,"CatchMSY",11245.36145,1.49177452523122,1.06277487752318,2.61629006094456,0.286636618206488,"Catch/MSY",NA,"Gar-CatchMSY-Catch/MSY",NA,-0.00921511666880715
"6","Gar","All","LBSPR",1999,"CatchMSY",6649.964667,0.882163541654618,0.62847383038136,1.54714782101598,0.286636618206488,"Catch/MSY",NA,"Gar-CatchMSY-Catch/MSY",NA,-0.00921511666880715
"7","Gar","All","LBSPR",2000,"CatchMSY",8461.848034,1.12252232972903,0.799711022890607,1.96869162516581,0.286636618206488,"Catch/MSY",NA,"Gar-CatchMSY-Catch/MSY",NA,-0.00921511666880715
"8","Gar","All","LBSPR",2001,"CatchMSY",12503.38593,1.65866012332653,1.18166806015655,2.90897580146818,0.286636618206488,"Catch/MSY",NA,"Gar-CatchMSY-Catch/MSY",NA,-0.00921511666880715
"9","Gar","All","LBSPR",2002,"CatchMSY",11872.8892,1.57502039647226,1.12208117288896,2.76228755712037,0.286636618206488,"Catch/MSY",NA,"Gar-CatchMSY-Catch/MSY",NA,-0.00921511666880715
"10","Gar","All","LBSPR",2003,"CatchMSY",11562.18882,1.53380385452966,1.09271754951686,2.69000154659594,0.286636618206488,"Catch/MSY",NA,"Gar-CatchMSY-Catch/MSY",NA,-0.00921511666880715
"11","Gar","All","LBSPR",2004,"CatchMSY",9092.801769,1.20622268143916,0.859341100715932,2.11548619403193,0.286636618206488,"Catch/MSY",NA,"Gar-CatchMSY-Catch/MSY",NA,-0.00921511666880715
"12","Gar","All","LBSPR",2005,"CatchMSY",9730.329491,1.29079511773095,0.919592471886059,2.26381023413161,0.286636618206488,"Catch/MSY",NA,"Gar-CatchMSY-Catch/MSY",NA,-0.00921511666880715
"13","Gar","All","LBSPR",2006,"CatchMSY",14664.7806,1.94538398916337,1.38593681273529,3.41183517313378,0.286636618206488,"Catch/MSY",NA,"Gar-CatchMSY-Catch/MSY",NA,-0.00921511666880715
"14","Gar","All","LBSPR",2007,"CatchMSY",7550.111862,1.00157425694642,0.713544802014643,1.756571606115,0.286636618206488,"Catch/MSY",NA,"Gar-CatchMSY-Catch/MSY",NA,-0.00921511666880715
"15","Gar","All","LBSPR",2008,"CatchMSY",6771.741423,0.898318065737621,0.639982689168916,1.57547979751967,0.286636618206488,"Catch/MSY",NA,"Gar-CatchMSY-Catch/MSY",NA,-0.00921511666880715
"16","Gar","All","LBSPR",2009,"CatchMSY",6534.510899,0.866847805409932,0.617562543564004,1.52028691956252,0.286636618206488,"Catch/MSY",NA,"Gar-CatchMSY-Catch/MSY",NA,-0.00921511666880715
"17","Gar","All","LBSPR",2010,"CatchMSY",7804.128353,1.0352712912256,0.737551353187917,1.81566982396013,0.286636618206488,"Catch/MSY",NA,"Gar-CatchMSY-Catch/MSY",NA,-0.00921511666880715
"18","Gar","All","LBSPR",2011,"CatchMSY",5098.879777,0.676401464938705,0.481884139927453,1.18628009796131,0.286636618206488,"Catch/MSY",NA,"Gar-CatchMSY-Catch/MSY",NA,-0.00921511666880715
"19","Gar","All","LBSPR",2012,"CatchMSY",8236.399486,1.09261502953667,0.778404366447965,1.91623988335126,0.286636618206488,"Catch/MSY",NA,"Gar-CatchMSY-Catch/MSY",NA,-0.00921511666880715
"20","Gar","All","LBSPR",2013,"CatchMSY",8005.8988,1.06203752849751,0.756620243330014,1.86261273614891,0.286636618206488,"Catch/MSY",NA,"Gar-CatchMSY-Catch/MSY",NA,-0.00921511666880715
"21","Gar","All","LBSPR",2014,"CatchMSY",10880.3113,1.44334811256115,1.02827477450905,2.53135930229907,0.286636618206488,"Catch/MSY",NA,"Gar-CatchMSY-Catch/MSY",NA,-0.00921511666880715
"22","Gar","All","LBSPR",2015,"CatchMSY",8226.798104,1.09134134019033,0.777496960525579,1.91400607340129,0.286636618206488,"Catch/MSY",NA,"Gar-CatchMSY-Catch/MSY",NA,-0.00921511666880715
