Year,Month,Catch,Units,Sex,Special
1994,-999,432.2811333,Kilograms,-999,-999
1995,-999,440.900116,Kilograms,-999,-999
1996,-999,130.182739,Kilograms,-999,-999
1997,-999,215.460568,Kilograms,-999,-999
1998,-999,1011.978971,Kilograms,-999,-999
1999,-999,1275.062444,Kilograms,-999,-999
2000,-999,717.5945612,Kilograms,-999,-999
2001,-999,827.8213402,Kilograms,-999,-999
2002,-999,227.7105434,Kilograms,-999,-999
2003,-999,139.7077199,Kilograms,-999,-999
2004,-999,347.4553034,Kilograms,-999,-999
2005,-999,164.6566699,Kilograms,-999,-999
2006,-999,91.6268163,Kilograms,-999,-999
2007,-999,564.7308677,Kilograms,-999,-999
2008,-999,1074.124846,Kilograms,-999,-999
2009,-999,535.4739264,Kilograms,-999,-999
2010,-999,924.207147,Kilograms,-999,-999
2011,-999,571.081855,Kilograms,-999,-999
2012,-999,1242.403509,Kilograms,-999,-999
2013,-999,347.451472,Kilograms,-999,-999
2014,-999,952.996792,Kilograms,-999,-999
2015,-999,230.878328,Kilograms,-999,-999
